Nº,Project,MethodName,#Assrtions,#Conditions,#TryCatch,#Loop,#Throws,#Statements,#Tokens,#Hamcrest,#Mockito,#BadApi,#LOC,#Expressions,#Depth,#Vocabulary,#Understandability,#BodySize,#Dexterity,#NonWhiteCharacters
43,avro-release-1.8.2,TestHadoopCodecFactory.testHadoopCodecFactoryBZip2,1,0,0,0,0,3,40,0,0,1,10,25,7,11,158,30,8,293
44,avro-release-1.8.2,TestSpecificRecordBuilder.buildWithoutSettingRequiredFields1,0,0,0,0,0,1,12,0,0,0,3,17,9,10,106,7,6,134
45,avro-release-1.8.2,TestSpecificRecordBuilder.buildWithoutSettingRequiredFields3,2,0,1,0,0,1,63,0,0,0,13,34,11,15,307,42,7,285
46,avro-release-1.8.2,TestSpecificRecordBuilder.buildWithoutSettingRequiredFields2,2,0,1,0,0,1,63,0,0,0,13,34,11,15,307,42,7,281
47,avro-release-1.8.2,TestCompare.testRecord,0,0,0,0,1,23,223,0,0,0,70,136,8,19,1080,175,12,843
48,avro-release-1.8.2,TestBlockingIO.testScan,0,0,0,0,1,2,21,0,0,0,7,14,7,9,94,16,8,90
49,avro-release-1.8.2,TestGenericJob.testJob,0,0,0,0,1,12,132,0,0,0,37,81,9,35,560,99,9,549
50,avro-release-1.8.2,InteropTest.testClient,0,0,0,1,1,1,143,0,0,0,38,81,11,32,793,108,13,596
51,avro-release-1.8.2,TestSchemaBuilder.testBoolean,1,0,0,0,0,5,69,0,0,0,16,43,9,18,292,54,9,273
52,avro-release-1.8.2,TestIOBuffers.testEmpty,2,0,0,0,1,5,61,0,0,0,16,35,8,15,251,47,8,261
53,avro-release-1.8.2,TestBinaryEncoderFidelity.testBinaryEncoder,4,0,0,0,1,11,106,0,0,0,34,61,7,21,437,82,9,474
54,avro-release-1.8.2,TestCompare.testBoolean,0,0,0,0,1,1,15,0,0,0,3,13,6,7,74,11,6,93
55,avro-release-1.8.2,TestReflect.testAnnotationAvroNameCollide,0,0,0,0,1,1,17,0,0,0,3,16,7,6,101,12,6,318
56,avro-release-1.8.2,TestCompare.testEnum,0,0,0,0,1,3,42,0,0,0,10,28,8,11,195,34,8,239
57,avro-release-1.8.2,TestTimeConversions.testTimeMicrosConversion,4,0,1,0,1,8,168,0,0,0,32,96,14,22,765,120,9,847
58,avro-release-1.8.2,TestBinaryDecoder.testIntTooShort,0,0,0,0,1,3,34,0,0,0,10,21,7,10,161,26,8,164
59,avro-release-1.8.2,TestReflectLogicalTypes.testWriteNullableUUID,1,0,0,0,1,14,225,0,0,0,43,132,12,41,1023,167,12,925
60,avro-release-1.8.2,TestSchemaValidation.testOnePriorCompatible,0,0,0,0,1,2,36,0,0,0,7,22,7,11,128,21,6,223
61,avro-release-1.8.2,TestSchemaValidation.testReadAllPrior,0,0,0,0,1,3,63,0,0,0,10,36,7,13,223,36,6,299
62,avro-release-1.8.2,TestSpecificLogicalTypes.testRecordWithLogicalTypes,1,0,0,0,1,4,108,0,0,0,13,63,9,25,488,74,9,523
63,avro-release-1.8.2,TestReflect.testNoPackage,1,0,0,0,1,3,45,0,0,0,10,27,7,14,180,33,9,201
64,avro-release-1.8.2,TestNettyServerWithCallbacks.testSendAfterChannelClose,7,0,4,0,1,3,333,0,0,0,113,169,14,43,2268,252,14,1383
65,avro-release-1.8.2,TestAvroMultipleOutputsSyncable.testAvroInput,5,0,0,1,1,24,359,0,0,0,77,199,10,65,1685,264,12,1498
66,avro-release-1.8.2,SymbolTest.testSomeMethod,0,0,0,0,1,3,62,0,0,0,10,36,11,17,327,49,8,271
67,avro-release-1.8.2,TestSchemaValidation.testOnePriorCanRead,0,0,0,0,1,2,36,0,0,0,7,22,7,11,128,21,6,218
68,avro-release-1.8.2,TestSpecificCompiler.generateHasMethod,19,0,0,0,0,50,1073,0,0,0,151,640,8,20,5639,737,10,4094
69,avro-release-1.8.2,TestStatsPluginAndServlet.testPayloadSize,1,0,0,0,1,7,58,0,0,0,22,36,7,19,256,51,8,297
70,avro-release-1.8.2,TestBinaryDecoder.testEOFFloat,0,0,0,0,1,1,10,0,0,0,3,11,6,7,63,6,6,112
71,avro-release-1.8.2,TestNettyServer.testRequestResponse,0,0,0,1,1,1,30,0,0,0,7,19,9,8,132,21,9,118
72,avro-release-1.8.2,TestShredder.testSimpleUnion,0,0,0,0,1,2,47,0,0,0,7,31,8,13,215,34,8,215
73,avro-release-1.8.2,TestFsInput.testConfigurationConstructor,1,0,1,0,1,2,76,1,0,0,23,37,9,18,380,58,10,326
74,avro-release-1.8.2,TestGenericDatumWriter.testWrite,1,0,0,0,1,11,140,0,0,0,34,80,9,33,648,113,9,589
75,avro-release-1.8.2,TestSchema.testInvalidNameTolerance,0,0,0,0,0,3,29,0,0,0,10,18,5,4,101,19,6,265
76,avro-release-1.8.2,TestDataFileRepairTool.testRepairPriorCorruptBlock,2,0,0,0,1,4,64,0,0,0,13,38,8,13,248,42,8,382
77,avro-release-1.8.2,TestSpecificToFromByteArray.testSpecificByteArrayIncompatibleWithLogicalTypes,0,0,0,0,1,3,131,0,0,0,10,79,10,31,679,86,8,668
78,avro-release-1.8.2,TestProtocolSpecific.testEchoBytes,1,0,0,0,1,7,66,0,0,0,22,40,7,17,273,53,8,259
79,avro-release-1.8.2,TestAvroDatumConverterFactory.testConvertBooleanWritable,1,0,0,0,0,2,39,0,0,0,7,23,9,11,172,30,9,215
80,avro-release-1.8.2,TestEncoders.testJsonRecordOrdering,1,0,0,0,1,6,82,0,0,0,19,49,9,22,375,68,9,477
81,avro-release-1.8.2,TestAvroMultipleOutputsSyncable.testAvroMapOutput,5,0,0,1,1,23,342,0,0,0,74,190,10,62,1593,252,12,1403
82,avro-release-1.8.2,TestReflectJob.testJob,0,0,0,0,1,18,226,0,0,0,55,134,9,41,1020,167,8,903
83,avro-release-1.8.2,TestIOBuffers.testSkipBytes,1,0,0,0,1,7,78,0,0,0,22,47,8,21,320,60,8,322
84,avro-release-1.8.2,TestProtocolReflect.testEcho,1,0,0,0,1,4,33,0,0,0,13,23,7,10,149,29,11,159
85,avro-release-1.8.2,TestShredder.testArray,0,0,0,0,1,2,62,0,0,0,7,40,8,15,284,44,8,257
86,avro-release-1.8.2,TestDataFileTools.testGetSchema,1,0,0,0,1,1,27,0,0,0,3,18,8,10,113,17,6,137
87,avro-release-1.8.2,TestHadoopCodecFactory.testHadoopCodecFactoryDeflate,1,0,0,0,0,3,40,0,0,1,10,25,7,11,158,30,8,303
88,avro-release-1.8.2,TestSpecificRequestor.testEquals,1,0,1,0,1,1,28,0,0,0,9,15,9,9,133,20,7,122
89,avro-release-1.8.2,TestGenericData.testArrayReversal,1,0,0,2,0,7,121,0,0,1,30,69,9,19,541,98,12,371
90,avro-release-1.8.2,TestBinaryMessageEncoding.testCompatibleReadWithSchemaFromLookup,1,0,0,0,1,7,122,0,0,0,22,70,9,29,555,95,10,551
91,avro-release-1.8.2,TestAvroSerializer.testSerialize,3,0,0,0,1,18,204,0,0,0,55,117,8,34,969,166,10,969
92,avro-release-1.8.2,TestDataFile.testSyncInHeader,1,0,0,1,1,3,48,0,0,0,14,26,9,11,230,40,11,251
93,avro-release-1.8.2,TestBinaryDecoder.testEOFBytes,0,0,0,0,1,1,11,0,0,0,3,12,6,7,69,7,6,116
94,avro-release-1.8.2,TestGenericLogicalTypes.testCopyUuidRaw,0,0,0,0,0,1,41,0,0,0,3,26,9,15,163,25,6,158
95,avro-release-1.8.2,TestSpecificCompiler.testSchemaSplit,0,0,0,0,1,4,39,0,0,0,13,26,7,14,178,34,12,230
96,avro-release-1.8.2,TestCreateRandomFileTool.testStdOut,1,0,0,1,1,6,117,0,0,0,23,61,10,30,522,88,13,459
97,avro-release-1.8.2,TestSpecificCompiler.testJavaTypeWithDecimalLogicalTypeDisabled,5,0,0,0,1,12,214,0,0,0,37,134,9,29,950,155,8,1175
98,avro-release-1.8.2,TestFsInput.testFileSystemConstructor,1,0,1,0,1,4,91,1,0,0,29,46,9,22,442,73,10,373
99,avro-release-1.8.2,TestSchemaBuilder.testArray,3,0,0,0,0,9,118,0,0,0,28,70,9,21,487,87,8,443
100,avro-release-1.8.2,TestGenericData.testrecordConstructorNullSchema,0,0,0,0,1,1,10,0,0,0,3,12,7,7,76,8,8,130
101,avro-release-1.8.2,TestAvroDatumConverterFactory.testConvertBytesWritable,3,0,0,0,0,5,79,0,0,0,16,45,9,12,339,60,9,291
102,avro-release-1.8.2,TestGenericData.testValidateUnion,1,0,0,0,0,6,116,0,0,0,19,68,10,23,502,81,8,491
103,avro-release-1.8.2,TestShredder.testPrimitives,0,0,0,0,1,10,255,0,0,0,31,167,8,21,1138,184,6,898
104,avro-release-1.8.2,TestDeepCopy.testDeepCopy,3,2,0,1,0,23,673,0,0,2,90,385,16,73,3780,459,16,2036
105,avro-release-1.8.2,TestCompare.testLong,0,0,0,0,1,2,37,0,0,0,7,23,7,5,154,26,6,125
106,avro-release-1.8.2,TestAvroKeyDeserializer.testDeserialize,4,0,0,0,1,20,229,0,0,0,61,131,8,41,1061,180,10,1111
107,avro-release-1.8.2,TestJsonToFromBinaryFragmentTools.testBinaryToJson,0,0,0,0,1,1,11,0,0,0,3,9,5,7,52,7,6,88
108,avro-release-1.8.2,TestCreateRandomFileTool.testSimple,0,0,0,0,1,1,6,0,0,0,3,6,5,4,34,4,6,52
109,avro-release-1.8.2,TestSpecificCompiler.testProtocolSplit,0,0,0,0,1,4,39,0,0,0,13,26,7,14,178,34,12,236
110,avro-release-1.8.2,TestSchema.testFloat,2,0,0,0,1,6,86,0,0,0,19,56,7,15,336,60,6,402
111,avro-release-1.8.2,TestSpecificBuilderTree.lastOneWins_Setter,7,0,0,0,0,12,249,0,0,0,37,141,11,41,987,158,9,1064
112,avro-release-1.8.2,TestDataFileMeta.testUseReservedMeta,0,0,0,0,0,2,32,0,0,0,7,19,9,9,171,26,9,181
113,avro-release-1.8.2,TestShredder.testSimpleRecord,0,0,0,0,1,1,32,0,0,0,3,22,7,11,144,22,6,162
114,avro-release-1.8.2,TestSchemaBuilder.testProps,3,0,0,0,0,5,94,0,0,0,16,54,11,15,375,61,8,310
115,avro-release-1.8.2,TestSpecificCompiler.testMangleIfReserved,2,0,0,0,0,2,26,0,0,0,7,17,6,5,94,17,6,144
116,avro-release-1.8.2,TestReflect.testStringableMapKeys,0,0,0,0,1,11,179,0,0,0,34,120,10,26,956,153,13,684
117,avro-release-1.8.2,TestColumnFile.testEmptyColumn,2,0,0,1,1,9,104,0,0,0,32,57,8,24,418,78,13,425
118,avro-release-1.8.2,TestLogicalType.testDecimalBytesHasNoPrecisionLimit,1,0,0,0,0,3,59,0,0,0,10,40,10,17,271,44,8,322
119,avro-release-1.8.2,TestResolvingGrammarGenerator2.testUnionResolutionNamedStructureMatch,2,0,0,0,1,5,91,0,0,0,16,63,10,26,458,74,9,450
120,avro-release-1.8.2,TestToTrevniTool.test,1,0,0,2,1,10,155,0,0,0,39,82,9,32,663,121,12,594
121,avro-release-1.8.2,TestReflect.testList,0,0,0,0,1,1,22,0,0,0,3,16,9,7,103,15,6,186
122,avro-release-1.8.2,TestBinaryMessageEncoding.testByteBufferBadMarkerByte,0,0,0,0,1,5,77,0,0,0,16,47,8,21,363,62,12,375
123,avro-release-1.8.2,TestLogicalType.testDecimalFailsWithNegativeScale,1,0,0,0,0,3,79,0,0,0,17,43,13,18,417,57,8,448
124,avro-release-1.8.2,TestReflect.testShort,0,0,0,0,0,2,20,0,0,0,7,14,7,5,80,15,6,177
125,avro-release-1.8.2,TestColumnFile.testSeekStrings,1,2,0,4,1,15,290,0,0,0,81,159,10,46,1363,229,17,925
126,avro-release-1.8.2,TestSpecificCompilerTool.testCompileSchemaFileAndDirectory,0,0,0,0,1,3,51,0,0,0,10,31,9,14,226,34,6,333
127,avro-release-1.8.2,TestSchemaBuilder.testFloat,1,0,0,0,0,5,69,0,0,0,16,43,9,18,292,54,9,263
128,avro-release-1.8.2,TestJsonDecoder.testLong,0,0,0,0,1,1,9,0,0,0,3,8,5,4,45,6,6,66
129,avro-release-1.8.2,TestSchemaBuilder.testFieldTypesAndDefaultValues,33,0,0,2,0,48,1745,0,0,0,153,962,209,87,57913,1081,13,5251
130,avro-release-1.8.2,TestProtobuf.testMessage,1,0,0,0,1,35,344,0,0,0,106,200,9,62,1833,261,11,1173
131,avro-release-1.8.2,TestDataFileTools.testReadToJsonPretty,1,0,0,0,1,1,23,0,0,0,3,15,8,9,97,14,6,136
132,avro-release-1.8.2,TestTimeConversions.testLossyTimestampMicrosConversion,3,0,0,0,1,9,164,0,0,0,28,93,10,24,709,115,8,1013
133,avro-release-1.8.2,TestCatTool.testSamplerateSmallerThanInput,2,0,0,0,1,9,157,0,0,0,28,90,10,37,711,119,9,683
134,avro-release-1.8.2,TestKeyValueWordCount.testIOFormat,0,0,0,0,1,2,10,0,0,0,7,8,5,5,44,7,6,85
135,avro-release-1.8.2,TestSchemaCompatibility.testValidateSchemaNewFieldWithDefault,1,0,0,0,1,4,91,0,0,0,13,58,9,20,450,73,10,585
136,avro-release-1.8.2,TestIdl.runTests,1,2,1,1,1,4,98,0,0,0,42,52,12,20,510,73,18,299
137,avro-release-1.8.2,TestBinaryDecoder.testFloatTooShort,0,0,0,0,1,3,34,0,0,0,10,21,7,10,161,26,8,166
138,avro-release-1.8.2,TestAvroDatumConverterFactory.testConvertText,1,0,0,0,0,2,39,0,0,0,7,23,9,11,172,30,9,174
139,avro-release-1.8.2,TestBinaryDecoder.testInputStreamPartiallyUsed,1,1,1,0,1,7,94,0,0,0,32,49,10,23,402,71,9,412
140,avro-release-1.8.2,TestReflectLogicalTypes.testReadUUIDMissingLogicalTypeReflect,0,1,1,0,1,2,175,0,0,0,42,101,14,43,954,125,14,814
141,avro-release-1.8.2,TestGenericData.testToStringSameValues,1,0,0,0,1,69,1062,0,0,0,208,607,9,52,6587,771,9,3450
142,avro-release-1.8.2,TestSchema.testEnum,0,0,0,0,1,7,56,0,0,0,22,36,8,10,225,41,6,548
143,avro-release-1.8.2,TestProtocolGeneric.testHandshake,1,0,1,0,1,8,246,0,0,0,47,142,10,42,1233,188,11,897
144,avro-release-1.8.2,TestAvroSequenceFile.testReadAvroWithoutReaderSchemas,9,0,0,0,1,21,338,0,0,0,64,197,12,44,1725,267,13,1379
145,avro-release-1.8.2,TestNettyServerWithCallbacks.cancelPendingRequestsOnTransceiverClose,4,0,3,0,1,4,250,0,0,0,78,130,13,45,1473,193,11,1138
146,avro-release-1.8.2,TestNettyServerWithCallbacks.echo,0,0,1,0,1,3,28,0,0,0,16,16,7,8,109,17,9,172
147,avro-release-1.8.2,TestFsInput.testSeek,1,0,0,0,1,8,88,1,0,0,25,47,7,19,369,69,8,347
148,avro-release-1.8.2,TestBlockingIO.testSkip2,0,0,0,0,1,1,13,0,0,0,3,10,5,7,60,8,6,77
149,avro-release-1.8.2,TestBlockingIO.testSkip3,0,0,0,0,1,1,13,0,0,0,3,10,5,7,60,8,6,77
150,avro-release-1.8.2,TestGenericLogicalTypes.testWriteDecimalBytes,1,0,0,0,1,11,160,0,0,0,34,97,9,38,753,132,9,725
151,avro-release-1.8.2,TestGenericData.testArrayListInterface,7,0,2,0,0,13,174,0,0,0,54,92,9,25,754,134,10,651
152,avro-release-1.8.2,TestAvroKeyOutputFormat.testWithSnappyCodeWithHadoopConfig,0,0,0,0,1,4,43,0,0,0,13,27,7,12,167,31,8,335
153,avro-release-1.8.2,TestResolvingGrammarGenerator2.testUnionResolutionFirstStructureMatch3d,2,0,0,0,1,5,91,0,0,0,16,63,10,26,458,74,9,452
154,avro-release-1.8.2,TestBinaryDecoder.testEOFInt,0,0,0,0,1,1,10,0,0,0,3,11,6,7,63,6,6,108
155,avro-release-1.8.2,TestBinaryDecoder.testDecodeFromSources,5,0,0,1,1,16,283,0,0,0,66,159,8,34,1368,217,13,1383
156,avro-release-1.8.2,TestCompare.testArray,0,0,0,0,1,8,85,0,0,0,25,50,9,16,400,73,9,295
157,avro-release-1.8.2,TestSpecificData.testSpecificWithinGeneric,0,0,0,0,1,13,232,0,0,0,40,124,9,32,1175,172,10,806
158,avro-release-1.8.2,TestSpecificCompiler.testNullableTypesJavaUnbox,10,0,0,0,1,22,476,0,0,0,67,312,9,30,2373,353,8,2314
159,avro-release-1.8.2,TestEncoders.testBadJsonEncoderInitOS,0,0,0,0,1,1,21,0,0,0,3,19,7,12,119,15,6,161
160,avro-release-1.8.2,TestAvroDatumConverterFactory.testConvertAvroKey,1,0,0,0,1,4,85,0,0,0,13,49,10,22,410,69,9,389
161,avro-release-1.8.2,TestJacksonUtils.testToObject,16,0,0,0,0,20,410,0,0,0,61,242,11,48,1792,273,8,1412
162,avro-release-1.8.2,TestAvroTextOutputFormat.testAvroTextRecordWriter,7,0,0,0,1,26,359,0,0,0,79,196,9,40,1662,264,9,1274
163,avro-release-1.8.2,DataFileInteropTest.testGeneratedSpecific,0,0,0,0,1,3,52,0,0,0,13,27,13,14,316,45,10,275
164,avro-release-1.8.2,TestEncoders.testBadBinaryEncoderInit,0,0,0,0,0,1,11,0,0,0,3,11,6,6,63,7,6,113
165,avro-release-1.8.2,TestLengthLimitedInputStream.testRead,4,0,0,0,1,6,70,0,0,0,19,40,7,10,280,53,9,216
166,avro-release-1.8.2,TestSchema.testParseInputStream,1,0,0,0,1,2,33,0,0,0,7,22,8,9,148,24,8,179
167,avro-release-1.8.2,TestShredder.testNestedUnion,0,0,0,0,1,3,114,0,0,0,10,72,8,17,529,82,8,566
168,avro-release-1.8.2,TestGenericLogicalTypes.testReadUUID,1,0,0,0,1,7,110,0,0,0,22,68,9,28,475,84,9,420
169,avro-release-1.8.2,TestShredder.testDefaultValue,0,0,0,0,1,3,43,0,0,0,10,29,7,13,195,31,8,288
170,avro-release-1.8.2,TestResolvingGrammarGenerator2.testUnionResolutionFirstStructureMatch2d,2,0,0,0,1,5,91,0,0,0,16,63,10,26,458,74,9,452
171,avro-release-1.8.2,TestAvroKeyOutputFormat.testWithDeflateCodec,0,0,0,0,1,4,54,0,0,0,13,38,10,18,249,42,8,308
172,avro-release-1.8.2,TestCircularReferences.test,6,0,0,0,1,38,559,0,0,0,115,331,9,57,3011,431,10,2220
173,avro-release-1.8.2,TestProtocolGeneric.testEcho,1,0,0,0,1,8,163,0,0,0,25,94,9,22,809,113,8,530
174,avro-release-1.8.2,TestWeather.testSort,5,0,0,1,1,26,322,0,0,0,83,186,9,58,1571,245,11,1343
175,avro-release-1.8.2,TestLogicalType.testDecimalDefaultScale,1,0,0,0,0,3,57,0,0,0,10,35,10,13,246,39,8,263
176,avro-release-1.8.2,TestBlockingIO.testSkip1,0,0,0,0,1,1,13,0,0,0,3,10,5,7,60,8,6,77
177,avro-release-1.8.2,TestReflect.testR10,2,0,0,0,1,4,62,0,0,0,13,39,8,16,251,45,8,255
178,avro-release-1.8.2,TestReflect.testR11,5,0,0,0,1,13,163,0,0,0,40,102,8,29,691,124,11,614
179,avro-release-1.8.2,TestReflectionUtil.testUnsafeUtil,0,0,0,0,0,1,11,0,0,0,3,7,7,4,42,7,8,59
180,avro-release-1.8.2,TestReflect.testR12,2,0,0,0,1,3,63,0,0,0,10,40,8,16,256,43,8,267
181,avro-release-1.8.2,TestIOBuffers.testSkipDouble,1,0,0,0,1,7,76,0,0,0,22,47,8,21,320,60,8,322
182,avro-release-1.8.2,TestSchema.testNames_GetWithInheritedNamespace,2,0,0,0,0,5,76,0,0,0,16,49,9,13,332,59,9,288
183,avro-release-1.8.2,TestReflect.testR13,1,0,0,0,1,2,33,0,0,0,7,23,8,13,147,25,8,131
184,avro-release-1.8.2,TestCompare.testFloat,0,0,0,0,1,2,37,0,0,0,7,23,7,5,154,26,6,138
185,avro-release-1.8.2,TestAvroOutputFormat.testSnappyCodecUsingAvroCodec,2,0,0,0,1,7,75,0,0,2,22,47,7,17,307,58,8,398
186,avro-release-1.8.2,TestReflectionUtil.testUnsafeWhenNotExists,0,0,0,0,1,3,45,0,0,0,10,26,9,14,188,34,9,221
187,avro-release-1.8.2,TestSchemaBuilder.testMissingRecordName,0,0,0,0,0,1,34,0,0,0,3,23,11,12,168,19,6,168
188,avro-release-1.8.2,TestShredder.testUnionInArray,0,0,0,0,1,4,120,0,0,0,13,76,9,18,567,88,8,550
189,avro-release-1.8.2,TestSpecificCompiler.generateSetMethod,19,0,0,0,0,50,1073,0,0,0,151,640,8,20,5639,737,10,4094
190,avro-release-1.8.2,TestDataFileTools.testGetMeta,2,0,0,0,1,3,53,0,0,0,10,34,8,14,219,37,8,239
191,avro-release-1.8.2,TestReflect.testByte,0,0,0,0,0,2,20,0,0,0,7,14,7,5,80,15,6,172
192,avro-release-1.8.2,TestAvroKeyOutputFormat.testWithSnappyCode,0,0,0,0,1,5,54,0,0,0,16,34,7,17,209,39,8,327
193,avro-release-1.8.2,TestGenericData.testToStringEscapesControlCharsInBytes,2,0,0,0,1,4,55,0,0,0,13,33,8,11,232,41,8,281
194,avro-release-1.8.2,TestSchema.testNull,2,0,0,0,1,3,49,0,0,0,10,33,7,10,193,33,6,211
195,avro-release-1.8.2,TestSpecificBuilderTree.failOnIncompleteTree,1,0,0,0,0,3,25,0,0,0,10,26,9,14,169,22,9,210
196,avro-release-1.8.2,TestAvroMultipleOutputs.testAvroSpecificOutput,5,0,0,1,1,25,370,0,0,0,80,206,10,67,1753,274,12,1545
197,avro-release-1.8.2,TestSchema.testArray,0,0,0,0,1,9,84,0,0,0,28,50,9,17,382,70,11,331
